vip=very important person 贵宾,
liquor 烈酒（如威士忌）,
wholesale 批发的；批发地,
munch 用力嚼；大声咀嚼,
palatable 美味的；顺耳的；怡人的,
pass up 放过；错过,
bargain 便宜货；廉价品,
portion 部分；一份,
cash register 手银机,
ravenous 饥饿的；贪婪的,
coupon 折价券；赠奖券,
refreshment 茶点,
defective 有毛病的；有问题的，有瑕疵的,
silverware 银器；镀银餐具,
display 陈列；展示品,
specialty 专攻；专业；专长；特制品,
drugstore 兼卖杂货的药房,
starve 饿死；挨饿,
flea market 跳蚤市场,
dinning out 在外就餐（）,
label 标签；标记,
aperitif 饭前酒,
modify 修改；变更,
appetizer 开胃菜,
patron 顾客；赞助人,
beverage 饮料,
purchase 购买；购得之物,
buffet 自助餐,
quantity 量；数量,
chopsticks 筷子,
cuisine 烹调,
dinning out 在外就餐,
medicine & insurance 医疗及保险,
aperitif 饭前酒,
alleviate 减轻；缓和,
appetizer 开胃菜,
bacteria 细菌,
beverage 饮料,
collision 碰撞；抵触,
buffet 自助餐,
compensation 补偿；赔偿；报偿,
chopsticks 筷子,
contagious 接触传染的,
cuisine 烹调,
crash 相撞；碰撞；突然发出巨响,
dessert 餐后甜点,
emergency room 急诊室,
entree 主菜,
expiration date 有效期限,
oeuvre 开胃小菜,
general hospital 综合医院,
leftovers 剩饭剩菜,
immune 免除的；豁免的；免疫的,
menu 菜单,
infection 感染,
napkin 餐巾,
investigator 调查员,
parched 焦干的；极渴的,
mandatory 命令的；强制的；义务的,
pastry 用面团和油酥烤成的小甜点心,
option 选择权；选择之自由；,
preservative 防腐剂,
outpatient 门诊病人,
recipe 食谱；烹饪法；秘诀,
premium 奖品；额外费用；保费,
seasoning 调味品；佐料,
severe 严苛的；严格的；严重的,
snack 小吃；点心 吃点心,
stroke 脑血管破裂或阻塞；中风,
spice 香料；调味品,
terms 条文；条款；付款条件；价钱,
vegetarian 素食者,
vital 非常必要的；及其重要的；攸关生死的,
antibiotic 抗生素,
claim 要求；声称,
commission 佣金,
comprehensive 全面的；广泛的,
coverage 报道范围；保险范围,
diagnose 诊断；判断,
acceptance 接受；赞同,
excruciating 极痛苦的；极度的,
acquaintance 相识但是不是很熟的人,
fraud 诈骗；骗局；骗子,
anniversary 周年纪念日,
handicap 残障；不利条件；障碍,
associate ()同事；伙伴 ()联想；交往,
indemnity 损害保障；损害赔偿,
banquet 酒席；正式的宴会,
intensive care unit 加护病房,
commitment 承诺；许诺,
liable 有义务的；易于……的；倾向于……的,
courtesy 礼貌；礼仪；好意；殷勤,
nutrition 营养之供给或摄取；营养,
distinguished 卓越的；杰出的；著名的,
organ donor 器官捐赠者,
embrace 拥抱；围绕；包括,
pharmaceutical 制药的；药品的,
etiquette 礼节；规范,
purification 洗净；净化,
farewell 一路平安；再见；告别,
side effect （药物之）副作用,
get-together （非正式的社交）聚会,
surgery （外科）手术,
greeting 致敬；问候；（复数）致意；赞词,
trauma 外伤；心灵的伤,
hug 拥抱；紧抱,
waive 放弃；弃权,
lavish 过分大方的；浪费的；丰富的 住房,
nosy 好管闲事的；爱打听的,
appliance 设备；器具；工具；家用电器,
offensive 令人不快的；讨厌的；冒犯的,
burglar 窃贼；夜间入屋行窃的小偷,
protocol 外交礼仪；草约,
community 社区,
regards 问候；致意,
electronics 电子学,
salute 向……打招呼；向……行军礼；,
fire extinguisher 灭火器,
furniture 家具,
garbage disposal 垃圾处理机,
acknowledge 承认；承认……之存在、权力；,
landlord 地主；房东,
aggressive 挑衅的；有侵略性的；有进取,
laundry 洗衣店；要洗或已洗好的衣物,
apologize 道歉,
lease 租约；出租；租用,
attractive 引人入胜；有吸引力的；迷人,
mattress 床垫,
barrier 障碍；障碍物；隔阂,
mortgage 抵押货（借）款,
compliment 赞扬；恭维,
ornament 装饰品,
criticize 批评；评论,
plumbing 水管设施,
eloquent 口才好的；雄辩的,
possession 所有；个人财产,
encounter 相遇；遭遇 偶然碰见；面临,
real estate 不动产,
extend 延伸 延续；扩大；延长；给予；提供,
renovate 更新；修复；恢复,
favorable 令人满意的；博得赞许的；有帮助的?,
rural 乡下；田园,
gossip 闲话；流言； 说闲话,
suburb （常用复数）郊区；近郊,
hilarious 狂欢的；令人捧腹的,
urban 都市的；都市式的,
intrude 闯入；侵入；把……强加诸于,
modest 谦逊的；适度的；朴实的；端庄的 住房,
nuisance 讨厌之人、事、物,
balcony 阳台；包厢,
prompt 准时的；按时的；迅速的；立刻行动的,
chore 家务难事；困难繁琐无趣的工作,
quarrel 争吵；争论 吵架,
down payment 头期款；预付金；定金,
run into 偶遇；碰上,
fire alarm 火灾警报器,
scandal 丑闻；引人愤慨之事,
furnishings 家具；室内陈设,
garage 车库；修车厂,
kitchenware 厨房用具,
laundromat 自助洗衣店,
lawn 草坪；草地,
loan shark 放高利贷者,
messy 杂乱的；肮脏的,
neighborhood 街坊；,
住宅区；临近地区,
amuse 使欢乐；使愉快；使发笑,
playground 运动场；游戏场；游乐场,
audience 听众；观众,
porch 门廊；游廊,
ballet 芭蕾舞,
property 财产；地产,
cable tv 有线电视,
relocate 重新安置；迁徙,
celebrity 名人；名声,
residence 住所；公馆；居住,
cinema 电影；影片；电影院；电影艺术；电影业,
storage 储藏；藏室,
composer 作曲家,
tenant 房客；承租人；佃户,
conductor 指挥家,
utility 公共实业；实用,
cue 暗示；提示,
drama 戏剧；剧本,
fare 车费；票价,
headline （报纸的）标题,
newscast 新闻广播,
periodical 杂志；期刊,
premiere 首次公演；首映,
rate 分级；分等 感觉、情绪、态度及知觉,
attitudes scenario 戏剧的情节,
affection 感情；钟爱,
scriptwriter 剧作家；编剧,
anticipate 预见；期待；在……之前行动；预先考虑；,
symphony 交响曲,
brag 自夸；吹嘘,
ticket office 售票处,
delighted 欣喜的；愉快的,
detest 憎恶；痛恨；嫌恶,
applaud 鼓掌,
disgust 作呕；厌恶；反感 导致反感,
audition 试听；试演,
distress 悲痛；贫困；危难,
broadcast 广播；宣传,
enthusiastic 热心的；狂热的,
carnival 狂欢；欢宴；嘉年华会；巡回娱乐表演,
esteem 好评；尊敬  极看重；尊重,
choreography 舞蹈设计；编舞,
fascination 入迷；着迷；强烈吸引力；魅力,
circus 马戏团,
gloomy 幽暗的；令人沮丧的；忧郁的；没有希望的,
concert 音乐会,
impartial 不偏袒；无偏见的；公正的,
critic 批评家；评论家；吹毛求疵的人,
impulsive 冲动的,
curtain call 谢幕,
irritated 被激怒的；发炎的；疼痛的,
editorial 社论,
mad 发疯的；疯狂的；着迷的；愚蠢的；生气的,
finale 结局；乐曲的最后部分,
objective 目标；客观的,
media 媒体,
panic 恐慌；使恐慌,
performance 演出；表现；性能,
prejudice 偏见；歧视,
playwright 剧作家,
repulsive 使人反感的；令人厌恶的,
preview 试映；预告片,
tranquility 平静的；安宁,
rehearsal 预演；排练,
screen 隔板；荧幕；荧光屏 感觉、情绪、态度及知,
stunt 特技；噱头,
ambition 雄心；野心,
theater 戏院；剧院,
attraction 吸引力；吸引人之物,
violin 小提琴,
contentment 满意；满足,
despair 绝望；使人绝望的事物,
devoted 挚爱的；忠实的；热忱的,
disposition 倾向；性格；气质；性情,
elegant 高雅的；有品味的；上等的,
entice 诱惑；引诱,
fancy 精心设计的；特技的；花俏的；昂贵的,
fondness 钟爱；溺爱；嗜好；癖好,
aerobics 有氧运动,
hideous 丑的吓人；不忍睹的；丑恶的；可憎的,
coach 教师；教练,
impression 意念；印象；不太明确的感觉或想法,
compete 竞争；比赛,
instinct 天性；本能；直觉,
defeat 失败；击败,
jealous 嫉妒的；羡慕的；唯恐失去的,
fitness 适合；恰当；身体健康,
nasty 肮脏的；不道德的；恶毒的；令人不愉快的；严重,
gym 健身房；体育馆,
optimistic 乐观的,
league 联盟；同盟,
perceive 感知；察觉；理会,
marathon 马拉松；耐力比赛,
provoke 激怒；引起；激起,
mountaineering 登山运动,
startle 惊吓；使吓一跳,
participate 参与；参加,
upset 使心烦意乱；使不舒服；使失败；打翻,
recreation 娱乐；消遣,
relaxation 松弛；缓和；休息；娱乐,
rigor 严格；严苛；艰苦,
soccer 足球,
stadium 体育场 其他重要名词及动词,
stroll 散步；闲逛,
aspect 面貌；方向；朝向,
surrender （向敌人）投降；放弃,
assumption 假定；假设,
time-out 暂停,
attempt ⑴企图；攻击 ⑵努力尝试；企图,
trophy 奖品；奖杯；战利品,
call waiting 电话插播,
usher 引座员；招待员,
declaration 宣布；公布；宣言,
endeavor 努力；尽力 试图；尝试,
exceed 超过；超出；超越,
billiards 撞球,
identity 身份；本体；相同；同一,
combative 好战的；好斗的,
implication 含义；暗示；牵连,
default 违约；弃权,
inspire 鼓舞；激发；引发,
defense 保护；防卫,
intention 意图；目的,
forfeit 罚款；丧失,
interrupt 打断；中断,
intensity 强度；强烈,
manipulate 操作；操纵,
leisure 空闲；闲暇时间,
obstacle 障碍物；阻碍,
massage 按摩；揉捏,
priority 优先权；优先考虑的事,
muscle 肌肉；力量,
prohibit 禁止；防止；阻止,
pastime 娱乐；消遣,
reassure 使安心；使放心；使恢复信心；再保证,
referee 裁判员；仲裁者,
remind 提醒；使想起,
replacement 代替的人或物,
sustain 维持；持续；支撑；蒙受,
undertake 承担；许诺；保证,
spectator 观众；旁观者,
stretch 伸张；伸开；伸展,
alter 改变；修改,
surfing 冲浪,
assurance 保证；担保；自信；把握,
tactic 战略；策略（常用复数）,
clarify 澄清；使纯净,
tournament 比赛；锦标赛,
discard 抛弃；丢弃,
umpire 裁判；仲裁,
entitle 定名；使有资格,
volleyball 排球,
exhibition 展览会；表现,
impact 碰撞力；影响；行动,
incentive 鼓励；诱因,
instruct 教授；指导；下命令；指示,
interfere 妨害；扰乱；介入；干涉,
involve 使卷入；牵涉；伴随（指必然结果）,
merit 功劳；价值；优点,
permit 许可证；执照 准许；许可,
proceed 着手；继续进行,
protest 抗议；反对,
register⑴登记簿；注册簿 ⑵记录；注册；登记姓名,
risk 风险；危险 使遭受危险；冒……的危险,
submit 认输；使服从；提出,
business development 业务拓展（）,
speculate 沉思；思索；猜测；推测；投机,
accrue 产生；增加,
verify 证明；证实；确认,
acquisition 获得；习得,
amplify 放大；加强；扩展,
asset 有用的东西；优点；长处,
buyout/buy out 买进全部产权或股权；收购全部,
corporation 法人；公司,
cutback 减少；取消,
enterprise 企业,
equity 公平；公正；扣除抵押、税金后的剩余财?,
financier 财政家；金融业者；资本家；投资者,
franchise 经销权；加盟权（想起火箭队的,
allocate 拨出；分配；配置,
launch 开办；展开；发起；开始,
applicant 申请人,
monopoly 垄断；独占；专卖 （这个词考试，模?.,
authorize 授权；委托,
phase 阶段,
bonus 红利；额外津贴；奖金,
profile 侧面象；略转；引人瞩目的状态,
capability 能力；才干；潜力；性能,
proposition 提案；建议；计划,
collaboration 合作；通敌,
prospectus 计划书；说明书；慕股书,
consultation 咨询；商量；商议；会议,
rival 竞争者；对手；匹敌者；势均力敌者,
curriculum vitae 履历,
subsidiary 子公司,
eligible 合格的，合适的,
track record 过去的记录,
employer 雇主,
business development 业务拓展（）,
executive 行政或管理人员,
acquire 获得,
income 收入或所得,
affiliate 支部；分会；子公司,
lay off （暂时）解雇,
assess 评估（财产价值）；评定,
occupation 职业,
benchmark 基准；水准点；标准,
part-time 兼任的；兼职的,
carry out 执行；贯彻；完成,
permanent 不变的，永久的,
cut down 削减；缩短,
promote 升迁；促销,
embezzle 盗用；挪用；侵占（公款等）,
recruit 吸收；征募,
entrepreneur 企业家；主办人,
resume 履历表,
expand 扩张；扩大,
salary 薪水,
firm 公司；商行,
integrate 统合；整合,
amateur 业余技术家；外行人；非专家,
merger 合并；并吞,
appoint 任命；指定,
pending 未决定的；待决定的；即将发生,
benefit 有益于；受益,
preliminary 初步的，开始的,
candidate 候选人,
propose 提议；建议,
certificate 凭证；证书,
prospect 期望或预见的事；展望；期望,
competent 有能力的，胜任的,
prosperity 繁荣；成功；兴隆,
coordinate 协调；调整,
scheme 计划；设计；图谋,
deadline 截至期限,
thrive 茂盛；兴旺；繁荣,
employee 受雇者,
undervalue 低估价值；看轻,
evaluation 评价；估价,
expertise 专门技术或知识,
interview 会面；面谈,
novice 生手；新手；初学者,
overtime 超时,
pension 养老金；退休金,
personnel 全体人员；人事部门,
recommendation 推荐；推荐书；劝告,
resign 辞职,
account 帐目；帐单；帐户,
retire 退休,
balance 余额；差额,
substitute 代理人；代用品,
bond 债券 科技及设备,
chamber of commerce 商会,
advance 前进；进展,
credit 信任；信用；信誉；功劳；荣誉；存款数?.,
debt 债；债务,
component 构成要素；成分；零件,
deficit 赤字；亏损额,
device 装置；设备；图案；设计,
depreciation 跌价；贬值,
engineer 工程师,
devaluation 贬值,
facilitate 促进；使（更）容易,
endorse 赞同；支持；签名；背书（重点，考试?.,
fuel 燃料,
exempt 被免除的；豁免的,
generator 发电机；产生器,
expense 消耗；消费,
innovative 创新；革新的,
fluctuation 波动；起伏；涨落,
inventor 发明家,
gross 总共的；全部的,
leading edge 居领先优势的,
inflation 物价飞涨；通货膨胀,
malfunction 故障；发生故障，机能失常,
overdraft 透支；透支额,
mode 样式；模式；方式；风尚；时尚,
profit 利润；收益；营利,
operate 操作；运转；经营,
revenue 收益；岁入；税收,
outlet 出口；排水口；销售店；商行；插座；销路,
stock 公债；证券；股票,
portable 可携带的；轻便的,
withdraw 收回；取回；撤回；提款,
raw material 原料,
satellite 卫星,
accountant 会计师；会计员,
specification 说明；详述,
bankrupt 破产的；倒闭的,
substandard 标准以下的,
capital 资金；资本 科技及设备,
convert 转换；改变,
automaton 自动操作装置；机器人,
currency 货币；流通；通用,
phone 移动电话；手机,
deduction 扣除；扣除额,
consecutive 连续的；连贯的,
deposit 付押金；付保证金,
devise 设计；发明；策划,
depression 不景气；忧伤；消沉；沮丧,
equipment 装备；设备,
discrepancy 差异；不同；不一致,
facility 便利的设施；设备,
estimate 估计；估价,
gadget 小巧的机械装置；小玩意,
expenditure 消费；开销,
hands-on 实地操作的；亲身体验的,
fiscal 财政的；会计的,
inspect 检查；审查；视察,
fund 基金；专款,
laboratory 实验室,
holding 土地；财产（常用复数）,
maintenance 维护；保养,
ledger 总帐；分类帐,
manual 使用手册，指南；手工的,
overdue 过期未付的,
network 网络系统；广播、电视网；电脑网,
remuneration 报酬；酬劳,
outage 电力中断；断电,
shareholder 股东,
petroleum 石油,
stockbroker 证券和股票经纪人,
procedure 程序；手续,
yield 生产量；收益生产；产生,
reverse 相反的；颠倒的,
solar (源自)太阳的；依太阳而运行的,
static 静电干扰；静止的；静态的；静电的,
turn down 关小（声）,
commerce 贸易,
bid 出价；投标；喊价,
commercial 商业化；商用的；营利的,
competitor 竞争者；对手 电脑,
consolidate 结合；合并；强化；巩固,
access 进入；接近；使用；取得,
contract 契约；合同,
automatically 无意识的；不自觉的；自动的,
corporate 全体的；团体的；公司的；法人的,
cable 缆线；电缆,
credible 可信的；可靠的,
compliance 顺从；服从；附和；屈从,
debit 借方；借项,
cutting edge 尖刻；尖锐；先锋地位 尖端的,
earnings 薪水；工资；收益,
delete 删除,
export 输出；出口,
digital 数位的；数字显示的,
haggle 讨价还价,
download 下载,
import 输入；进口,
hacker 热衷电脑的人，黑客,
invoice 发票；发货清单；完成工作的清单（明?,
input 输入电脑,
long-range 长期的；远程的,
internet 国际互联网,
stock 现货；存货,
laptop 笔记本电脑,
payment 支付；付款,
multimedia 多媒体,
quote 报价,
retrieval 取回；恢复,
supply 供应品；供应物；库存,
search engine 搜索引擎,
tariff 关税,
shut down 使关闭；使停业,
voucher 保证人；凭证；凭单；折价券,
state-of-the-art 使用最先进技术的；达到最高水准的,
terminology 专业术语；专有名词,
troubleshooting 检修；解决困难的,
bill of lading 提货单,
up-to-date 最近的；最新的,
commodity 商品；农产品 电脑,
consignee 收件人；受托人,
activate 使活动；触发；激活,
consumer 消费者；顾客,
browse 浏览；随便翻阅,
contractor 立契约人；承包商,
command 指令；命令；掌握,
cost-effective 符合成本效益的,
configuration 结构；构造；配置,
dealer 商人；业者,
database 数据库,
due 应付的；到期的；该发生的,
desktop 桌上型的,
endorse 背书；支持；赞同,
downgrade 降级；使降职,
forward 送到，转号,
floppy(disk) 软盘,
headquarters 总公司；总部；司令部,
hyperlink 超链接,
inventory 详细目录；清单；存货,
install 安装；安置,
letter of credit 信用状,
know-how 技能；专业知识；窍门,
order 汇单;订货；订单；汇票,
modern 调制解调器,
patent 专利；取得…的专利,
omit 忽略；删除；疏忽,
quota 定量；定额；配额,
scanner 扫描仪,
shipment 一批货,
server 服务器,
surplus ()过剩的量；盈余()过剩的；剩余的,
spreadsheet 电子制表软件；电子表格,
trademark 注册商标,
switch 开关；骤变,
warehouse 仓库；货价；大商店,
transmission 传输；传送,
upgrade 升级；提升,
virus 滤过性病毒；电脑病毒,
business meeting &,
negotiation 商务会议及谈判,
adjourn 暂时；休会；延期,
agreement 同意；协定,
amendment 修正,
advertisement 广告,
approval 赞成；同意,
appendix 附录,
attentive 注意的；留心的专心的,
attach 贴上；附上；附加,
board 理事会；委员会；董事会,
campaign 战役；竞选活动；宣传活动,
brainstorm 脑力激荡，集思广益,
cohesive 有粘着力的；有结合力的；凝聚性的,
concede 容忍；容许；让步,
confidential 秘密的；机密的,
conference 会议；协商；讨论会,
correspondence 通信；信件,
convention 惯例；常规；习俗；会议；,
dictate 口述；支配；命令,
convince 使信服,
elaborate 详尽说明；详尽的；精心制作的,
cross-reference 前后参照；（使）前后参照,
forward 转寄；发送,
delegate 代表,
inquire 调查；询问,
demand 要求；强求,
jot down 略记下；匆匆记下,
dispute 争端；争执；纠纷；,
leaflet 传单,
negotiation 协商；谈判,
notify 通知；告知,
persuade 说服；劝服,
promote 发扬；晋升；促进,
postpone 延迟；延期,
publicity 公开；宣传；尽人皆知,
reconcile 调和；调解,
response 回应,
settlement 协议；支付,
revise 修订；修改；校订,
slogan 口号；标语,
business meeting &,
negotiation 商务会议及谈判,
urgent 紧急的；急迫的,
agenda 议程,
alternative 可 供 选 择 的 事 物 、 方 式 等,
announce 通告；宣布；宣告；公诸于众,
affirm 坚称；声明；断言；确认,
articulate 能清楚有力表达思想感情的；表达能,
asap=as soon as possible 越快越好,
attorney 律师,
banner 标语；旗帜,
breakthrough 突破；重大进展,
circular 广告；传单；通告,
compromise 妥协；折衷；和解,
composition 写作；作品；作文；作曲,
conclusive 决定性的；勿庸置疑的,
convene 集合；聚集；开会,
consensus 一致的意见；共识,
courier 递送急件的信差；邮物专递公司,
converse 谈话；交谈,
draft 草稿；汇票,
criterion 规范；标准,
enclose 装入；放入封套,
decline 衰落；衰退；下降,
inform 通知；告知,
demonstration 示范；实证；（游行）示威,
issue 流出；放出；发行；发布,
diplomacy 外交手腕；交际手段,
layout 规划；设计；编排,
dissuade 劝阻,
legible （字迹）可以辨认的；易读的,
on behalf of 代表,
postage 邮资,
petition 请愿（书）；请愿,
proofread 校正；校对,
premise 前提,
regarding 关于；有关,
seminar 研讨会；讨论课；讲习会,
restate 再声明；重新叙述；（换一种方式）重说,
statement 声明；陈述,
signature 签字；签名,
stationery 文具；信纸；信笺,
write-up 报告书,
write up 详细写,
accommodation 适应；住所；膳宿,
boarding pass 登机牌,
brochure 小册子,
checkout 结帐退房的时间,
check out 办理退房；结帐离?,
confirmation 确认,
customs 海关；关税,
departure 离开；出发,
en route 在途中,
expedition 探险；远征队,
flight 飞行；航班；航程,
itinerary 行程表；旅程,
lodge 小屋；旅馆,
luxurious 奢华的；非常舒适的,
motel 汽车旅馆,
packing 包装；打包,
peak season 旺季,
reservation 预约；预订；保留,
sightseeing 观光；游览,
suite （旅馆的）套房,
valid 依法有效的；有效的,
baggage claim 行李提领处,
breathtaking 惊人的；惊艳的；惊险的,
carry-on 登机行李；手提行李,
concierge 管理员；门房,
cruise 乘船游览,
deluxe 豪华的；高级的,
destination 目的地,
exotic 异国风情的；异国的,
fasten 系紧；拴住；扣住,
flight attendant 空中服务员,
jet lag 时差,
luggage 行李,
metal detector 金属探测器,
overseas 在海外的，国外的（注意一般使用时都有s）,
passenger 乘客；旅客,
porter 脚夫；门房,
round-trip 来回的，双程的,
stopover 中途停留,
vacant 空的，未被占用的,
voyage 旅行；航行,
absurd 荒谬的；不合理的；违反常理的,
adequate 足够的；适当的,
ample 广大的；宽敞的；充足的,
decent 合宜的；得体的；适当的,
dreadful 令人恐怖的；令人害怕的,
exceptional 异常的；例外的；特别优秀,
exquisite 精细的；精美的；敏锐的；细致的,
farfetched 牵强的；不大可信的；不自然的,
in light of 按照；根据,
ingenious 有巧思的；有创意的；灵敏的,
instant 立即的；（食品）快速方便的,
legitimate 合法的；正当的；婚生的,
moderate 中等的；适度的；有节制的；温和的,
oblivious 遗忘的；遗忘的；,
不注意的；不在意的,
random 随便的；无目的的,
relevant 有关的；切题的；有实际价值或重要性的,
substantially 相当大的；基本上；本质的,
temporary 暂时的临时的,
unprecedented 史无前例的；空前的,
versatile 多 才 多 艺 的,
accurate 准确的；正确无误的；精确的,
alert 警觉的；留心的；机警的；敏捷的,
approximately 大约；大概,
distinctive 与众不同的；有特色的；显著的,
dynamic 充满活力的；动力的,
excessive 过多的；过度的；过分的,
extraordinary 特别的；格外的；值得注意的,
fragile 易碎的；易损坏的；脆弱的,
inferior 品质差的；下等的；下级的,
initial 开始的；最初的,
irresistible 极为诱人的；无法抗拒的,
miscellaneous 不同种类的；各式各样的；混杂的,
noteworthy 值得注意的；显著的,
on and off 断断续续的；偶尔；有时,
rapid 迅速的；快速的；快的,
self-explanatory 不需要加以说明的；不言自明的,
sufficient 足够的,
ultimately 最后；最终,
vague 含糊不清的；模糊不清的,
vivid 生龙活虎的；鲜艳的；鲜明,
